Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/81601-ufc-fight-night,UFC Fight Night: Holloway vs. Rodriguez,"Saturday, November 13, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/81402-ufc-268-usman-vs-covington-2,UFC 268: Usman vs. Covington 2,"Saturday, November 06, 2021",Madison Square Garden,"New York, NY"
https://www.tapology.com/fightcenter/events/80222-ufc-267,UFC 267: Błachowicz vs. Teixeira,"Saturday, October 30, 2021",Etihad Arena,"Dubai, AE"
https://www.tapology.com/fightcenter/events/81267-ufc-fight-night,UFC Fight Night: Costa vs. Vettori,"Saturday, October 23, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/80539-ufc-fight-night,UFC Fight Night: Ladd vs. Dumont,"Saturday, October 16, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/80131-ufc-fight-night,UFC Fight Night: Dern vs. Rodriguez,"Saturday, October 09, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79693-ufc-fight-night,UFC Fight Night: Santos vs. Walker,"Saturday, October 02, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/78601-ufc-266,UFC 266: Volkanovski vs. Ortega,"Saturday, September 25, 2021",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79258-ufc-fight-night,UFC Fight Night: Smith vs. Spann,"Saturday, September 18, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79654-ufc-fight-night,UFC Fight Night: Brunson vs. Till,"Saturday, September 04, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79108-ufc-fight-night,UFC Fight Night: Barboza vs. Chikadze,"Saturday, August 28, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79118-ufc-fight-night,UFC Fight Night: Cannonier vs. Gastelum,"Saturday, August 21, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/79193-ufc-fight-night-brunson-vs-till,UFC Fight Night (cancelled),"Saturday, August 14, 2021",UFC APEX,"Las Vegas, NV"
